"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.108","45.56.79.127","TCP","62","57141 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"2","0.009988","192.168.1.108","45.56.79.127","TCP","62","57140 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"3","0.042999","54.225.155.188","192.168.1.108","TCP","60","443 > 54685 [ACK] Seq=1 Ack=1 Win=70 Len=0"
"4","0.548239","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","SSDP","456","HTTP/1.1 200 OK "
"5","1.001818","192.168.1.108","45.56.79.127","TCP","66","57144 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"6","1.001981","192.168.1.108","45.56.79.127","TCP","66","57145 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"7","1.149873","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","ICMPv6","86","Neighbor Solicitation for fe80::5034:59dc:7b1d:2e8c from 00:14:d1:1e:c2:4e"
"8","1.150154","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","ICMPv6","86","Neighbor Advertisement fe80::5034:59dc:7b1d:2e8c (sol, ovr) is at 50:e5:49:eb:48:7e"
"9","1.455525","fe80::5034:59dc:7b1d:2e8c","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"10","1.456299","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","pnrp","158","PNRP SOLICIT Message "
"11","1.456675","fe80::5034:59dc:7b1d:2e8c","ff02::1:ff9d:d0e1","ICMPv6","86","Neighbor Solicitation for fe80::843a:ae68:209d:d0e1 from 50:e5:49:eb:48:7e"
"12","1.456810","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","pnrp","182","PNRP ADVERTISE Message "
"13","1.456948","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","pnrp","170","PNRP REQUEST Message "
"14","1.457249","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","pnrp","82","PNRP ACK Message "
"15","1.457349","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","pnrp","190","PNRP FLOOD Message "
"16","1.457350","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","pnrp","190","PNRP FLOOD Message "
"17","1.758236","192.168.1.181","192.168.1.255","UDP","60","Source port: 38045  Destination port: 50000"
"18","1.789664","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","SSDP","453","HTTP/1.1 200 OK "
"19","2.014198","192.168.1.108","173.194.115.35","QUIC","305","CID: 16684433994042422170, Seq: 44"
"20","2.014274","192.168.1.108","173.194.115.35","QUIC","1392","CID: 16684433994042422170, Seq: 45"
"21","2.014512","192.168.1.108","173.194.115.35","QUIC","1392","CID: 16684433994042422170, Seq: 46"
"22","2.014721","192.168.1.108","173.194.115.35","QUIC","1392","CID: 16684433994042422170, Seq: 47"
"23","2.014905","192.168.1.108","173.194.115.35","QUIC","880","CID: 16684433994042422170, Seq: 48"
"24","2.033056","192.168.1.108","45.56.79.127","TCP","62","57143 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"25","2.045169","173.194.115.35","192.168.1.108","QUIC","78","CID: 0, Seq: 76"
"26","2.046037","173.194.115.35","192.168.1.108","QUIC","75","CID: 0, Seq: 77"
"27","2.053603","173.194.115.35","192.168.1.108","QUIC","117","CID: 0, Seq: 78"
"28","2.053862","173.194.115.35","192.168.1.108","QUIC","1392","CID: 0, Seq: 79"
"29","2.053956","192.168.1.108","173.194.115.35","QUIC","89","CID: 16684433994042422170, Seq: 49"
"30","2.054080","173.194.115.35","192.168.1.108","QUIC","1392","CID: 0, Seq: 80"
"31","2.054081","173.194.115.35","192.168.1.108","QUIC","1392","CID: 0, Seq: 81"
"32","2.054151","173.194.115.35","192.168.1.108","QUIC","715","CID: 0, Seq: 82"
"33","2.054233","192.168.1.108","173.194.115.35","QUIC","83","CID: 16684433994042422170, Seq: 50"
"34","2.055915","192.168.1.108","173.194.115.35","QUIC","320","CID: 16684433994042422170, Seq: 51"
"35","2.055987","192.168.1.108","173.194.115.35","QUIC","1392","CID: 16684433994042422170, Seq: 52"
"36","2.056174","192.168.1.108","173.194.115.35","QUIC","1392","CID: 16684433994042422170, Seq: 53"
"37","2.056415","192.168.1.108","173.194.115.35","QUIC","1392","CID: 16684433994042422170, Seq: 54"
"38","2.056588","192.168.1.108","173.194.115.35","QUIC","1392","CID: 16684433994042422170, Seq: 55"
"39","2.056780","192.168.1.108","173.194.115.35","QUIC","810","CID: 16684433994042422170, Seq: 56"
"40","2.082648","173.194.115.35","192.168.1.108","QUIC","81","CID: 0, Seq: 83"
"41","2.083034","173.194.115.35","192.168.1.108","QUIC","75","CID: 0, Seq: 84"
"42","2.083071","173.194.115.35","192.168.1.108","QUIC","75","CID: 0, Seq: 85"
"43","2.185004","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","ICMPv6","86","Neighbor Solicitation for fe80::423:3956:e3c5:5411 from 50:e5:49:eb:48:7e"
"44","2.185039","fe80::5034:59dc:7b1d:2e8c","ff02::1:ff9d:d0e1","ICMPv6","86","Neighbor Solicitation for fe80::843a:ae68:209d:d0e1 from 50:e5:49:eb:48:7e"
"45","2.185537","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","ICMPv6","86","Neighbor Advertisement fe80::423:3956:e3c5:5411 (sol, ovr) is at 00:14:d1:1e:c2:4e"
"46","2.195875","173.194.115.35","192.168.1.108","QUIC","90","CID: 0, Seq: 86"
"47","2.196246","173.194.115.35","192.168.1.108","QUIC","612","CID: 0, Seq: 87"
"48","2.196592","192.168.1.108","173.194.115.35","QUIC","92","CID: 16684433994042422170, Seq: 57"
"49","2.258158","fe80::423:3956:e3c5:5411","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"50","2.260115","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","pnrp","158","PNRP SOLICIT Message "
"51","2.260309","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","pnrp","182","PNRP ADVERTISE Message "
"52","2.260808","fe80::423:3956:e3c5:5411","ff02::1:ff9d:d0e1","ICMPv6","86","Neighbor Solicitation for fe80::843a:ae68:209d:d0e1 from 00:14:d1:1e:c2:4e"
"53","2.260812","fe80::423:3956:e3c5:5411","fe80::5034:59dc:7b1d:2e8c","pnrp","170","PNRP REQUEST Message "
"54","2.261004","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","pnrp","82","PNRP ACK Message "
"55","2.261088","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","pnrp","190","PNRP FLOOD Message "
"56","2.261149","fe80::5034:59dc:7b1d:2e8c","fe80::423:3956:e3c5:5411","pnrp","190","PNRP FLOOD Message "
