No.,Time,Source,Destination,Protocol,Length,Info
1,0,fe80::3cd1:15ce:a5c7:3d56,ff02::1:2,DHCPv6,172,Solicit XID: 0x607515 CID: 000100011b8f9d1d28802302c90f 
2,0.41234,fe80::5034:59dc:7b1d:2e8c,ff02::c,SSDP,208,M-SEARCH * HTTP/1.1 
3,0.903527,fe80::423:3956:e3c5:5411,fe80::5034:59dc:7b1d:2e8c,SSDP,453,HTTP/1.1 200 OK 
4,1.372833,fe80::5034:59dc:7b1d:2e8c,fe80::423:3956:e3c5:5411,pnrp,248,PNRP LOOKUP Message 
5,1.373452,fe80::423:3956:e3c5:5411,fe80::5034:59dc:7b1d:2e8c,pnrp,96,PNRP AUTHORITY Message 
6,1.378044,fe80::5034:59dc:7b1d:2e8c,fe80::423:3956:e3c5:5411,pnrp,248,PNRP LOOKUP Message 
7,1.378405,fe80::423:3956:e3c5:5411,fe80::5034:59dc:7b1d:2e8c,pnrp,96,PNRP AUTHORITY Message 
8,1.378637,fe80::5034:59dc:7b1d:2e8c,fe80::423:3956:e3c5:5411,pnrp,248,PNRP LOOKUP Message 
9,1.378962,fe80::423:3956:e3c5:5411,fe80::5034:59dc:7b1d:2e8c,pnrp,96,PNRP AUTHORITY Message 
10,1.379195,fe80::5034:59dc:7b1d:2e8c,fe80::423:3956:e3c5:5411,pnrp,248,PNRP LOOKUP Message 
11,1.379516,fe80::423:3956:e3c5:5411,fe80::5034:59dc:7b1d:2e8c,pnrp,96,PNRP AUTHORITY Message 
12,1.62731,192.168.1.108,74.125.227.207,TLSv1.2,144,Application Data
13,1.627367,192.168.1.108,74.125.227.207,TLSv1.2,100,Application Data
14,1.627532,192.168.1.108,192.168.1.1,DNS,75,Standard query 0xa3a4  A ssl.gstatic.com
15,1.63936,192.168.1.1,192.168.1.108,DNS,91,Standard query response 0xa3a4  A 216.58.218.163
16,1.645819,74.125.227.207,192.168.1.108,TCP,60,443 > 49431 [ACK] Seq=1 Ack=91 Win=361 Len=0
17,1.646604,74.125.227.207,192.168.1.108,TCP,60,443 > 49431 [ACK] Seq=1 Ack=137 Win=361 Len=0
18,1.646933,74.125.227.207,192.168.1.108,TLSv1.2,100,Application Data
19,1.647001,192.168.1.108,216.58.218.163,QUIC,1392,"CID: 9680687472360579121, Seq: 1"
20,1.663597,74.125.227.207,192.168.1.108,TLSv1.2,149,Application Data
21,1.663598,74.125.227.207,192.168.1.108,TLSv1.2,135,Application Data
22,1.663648,192.168.1.108,74.125.227.207,TCP,54,49431 > 443 [ACK] Seq=137 Ack=223 Win=16389 Len=0
23,1.663699,74.125.227.207,192.168.1.108,TLSv1.2,100,Application Data
24,1.664295,192.168.1.108,74.125.227.207,TLSv1.2,100,Application Data
25,1.685799,216.58.218.163,192.168.1.108,QUIC,1392,"CID: 0, Seq: 1"
26,1.688492,192.168.1.108,216.58.218.163,QUIC,79,"CID: 9680687472360579121, Seq: 2"
27,1.718808,74.125.227.207,192.168.1.108,TCP,60,443 > 49431 [ACK] Seq=269 Ack=183 Win=361 Len=0
