"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.10.26","192.168.10.255","NBNS","92","Name query NB FILESERVER<20>"
"2","0.171460","Apple_a4:f1:fa","Broadcast","ARP","56","Who has 169.254.255.255?  Tell 192.168.10.17"
"3","0.764337","192.168.10.26","192.168.10.255","NBNS","92","Name query NB FILESERVER<20>"
"4","1.154236","192.168.10.26","54.200.75.96","TCP","66","50982 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"5","1.530876","192.168.10.26","198.153.192.60","DNS","81","Standard query 0x47b0  A FILESERVER.aquent.com"
"6","1.642798","198.153.192.60","192.168.10.26","DNS","118","Standard query response 0x47b0  A 54.200.75.96"
"7","1.644294","192.168.10.26","54.200.75.96","ICMP","74","Echo (ping) request  id=0x0001, seq=87/22272, ttl=32 (no response found!)"
"8","2.246347","192.168.10.26","54.200.75.96","TCP","66","50983 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"9","3.432559","192.168.10.26","54.200.75.96","ICMP","74","Echo (ping) request  id=0x0001, seq=88/22528, ttl=32 (no response found!)"
"10","3.931044","IntelCor_c7:bb:3c","Fortinet_b3:c6:01","ARP","42","Who has 192.168.10.1?  Tell 192.168.10.26"
"11","3.935104","Fortinet_b3:c6:01","IntelCor_c7:bb:3c","ARP","56","192.168.10.1 is at 00:09:0f:b3:c6:01"
"12","5.429703","192.168.10.26","54.200.75.96","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"13","6.941898","192.168.10.26","54.200.75.96","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"14","7.160243","192.168.10.26","54.200.75.96","TCP","62","[TCP Retransmission] 50982 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"15","8.252223","192.168.10.26","54.200.75.96","TCP","62","[TCP Retransmission] 50983 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
