"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"2","0.000092","192.168.10.26","108.160.173.162","TCP","74","51071 > 443 [ACK] Seq=1 Ack=4294964377 Win=16560 Len=0 SLE=1 SRE=1461 SLE=4381 SRE=8761"
"3","0.000287","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"4","0.000363","192.168.10.26","108.160.173.162","TCP","66","51072 > 443 [ACK] Seq=1 Ack=1461 Win=16560 Len=0 SLE=10221 SRE=14601"
"5","0.000498","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"6","0.000534","192.168.10.26","108.160.173.162","TCP","66","51072 > 443 [ACK] Seq=1 Ack=2921 Win=16560 Len=0 SLE=10221 SRE=14601"
"7","0.000656","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"8","0.000736","192.168.10.26","108.160.173.162","TCP","66","51072 > 443 [ACK] Seq=1 Ack=4381 Win=16560 Len=0 SLE=10221 SRE=14601"
"9","0.000862","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"10","0.000899","192.168.10.26","108.160.173.162","TCP","66","51073 > 443 [ACK] Seq=1 Ack=4294955617 Win=65520 Len=0 SLE=1 SRE=1461"
"11","0.001018","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"12","0.001048","192.168.10.26","108.160.173.162","TCP","66","[TCP Dup ACK 10#1] 51073 > 443 [ACK] Seq=1 Ack=4294955617 Win=65520 Len=0 SLE=1 SRE=2921"
"13","0.001165","108.160.173.162","192.168.10.26","SSL","1514","[TCP Out-Of-Order] Continuation Data"
"14","0.001210","192.168.10.26","108.160.173.162","TCP","66","51073 > 443 [ACK] Seq=1 Ack=4294957077 Win=65520 Len=0 SLE=1 SRE=2921"
"15","0.001333","108.160.173.162","192.168.10.26","SSL","1514","[TCP Out-Of-Order] Continuation Data"
"16","0.001363","192.168.10.26","108.160.173.162","TCP","66","51073 > 443 [ACK] Seq=1 Ack=4294958537 Win=65520 Len=0 SLE=1 SRE=2921"
"17","0.001483","108.160.173.162","192.168.10.26","SSL","1514","[TCP Out-Of-Order] Continuation Data"
"18","0.001541","192.168.10.26","108.160.173.162","TCP","66","51073 > 443 [ACK] Seq=1 Ack=4294959997 Win=65520 Len=0 SLE=1 SRE=2921"
"19","0.001667","74.125.227.175","192.168.10.26","TCP","66","80 > 51138 [ACK] Seq=1 Ack=1 Win=344 Len=0 SLE=0 SRE=1"
