"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.10.26","54.200.75.96","TCP","66","50785 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"2","0.000911000","192.168.10.26","192.168.10.255","NBNS","92","Name query NB THESITH<20>"
"3","0.763857000","192.168.10.26","192.168.10.255","NBNS","92","Name query NB THESITH<20>"
"4","1.528173000","192.168.10.26","192.168.10.255","NBNS","92","Name query NB THESITH<20>"
"5","1.918141000","192.168.10.26","54.200.75.96","TCP","66","50784 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"6","2.294372000","192.168.10.26","198.153.192.60","DNS","78","Standard query 0xa133  A THESITH.aquent.com"
"7","2.342899000","198.153.192.60","192.168.10.26","DNS","112","Standard query response 0xa133  A 54.200.75.96"
"8","2.344390000","192.168.10.26","54.200.75.96","ICMP","74","Echo (ping) request  id=0x0001, seq=61/15616, ttl=32 (no response found!)"
"9","3.010079000","192.168.10.26","54.200.75.96","TCP","66","[TCP Retransmission] 50785 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"10","3.540356000","IntelCor_c7:bb:3c","Fortinet_b3:c6:01","ARP","42","Who has 192.168.10.1?  Tell 192.168.10.26"
"11","3.546803000","Fortinet_b3:c6:01","IntelCor_c7:bb:3c","ARP","56","192.168.10.1 is at 00:09:0f:b3:c6:01"
"12","4.040487000","192.168.10.26","54.200.75.96","ICMP","74","Echo (ping) request  id=0x0001, seq=62/15872, ttl=32 (no response found!)"
"13","4.723608000","192.168.10.16","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"14","4.724124000","192.168.10.16","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"15","4.748406000","192.168.10.26","198.153.192.60","DNS","81","Standard query 0x0786  A FILESERVER.aquent.com"
"16","4.797355000","198.153.192.60","192.168.10.26","DNS","118","Standard query response 0x0786  A 54.200.75.96"
"17","4.798814000","192.168.10.26","54.200.75.96","TCP","66","50792 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"18","4.928431000","192.168.10.16","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"19","5.031465000","192.168.10.16","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"20","5.888471000","192.168.10.26","54.200.75.96","TCP","66","50794 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"21","5.891778000","192.168.10.26","192.168.10.255","NBNS","92","Name query NB FILESERVER<20>"
"22","6.042542000","192.168.10.26","54.200.75.96","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"23","6.649862000","192.168.10.26","192.168.10.255","NBNS","92","Name query NB FILESERVER<20>"
"24","6.992846000","192.168.10.26","199.83.129.96","TCP","55","50359 > 80 [ACK] Seq=1 Ack=1 Win=16290 Len=1"
"25","7.078381000","199.83.129.96","192.168.10.26","TCP","66","80 > 50359 [ACK] Seq=1 Ack=2 Win=317 Len=0 SLE=1 SRE=2"
"26","7.414036000","192.168.10.26","192.168.10.255","NBNS","92","Name query NB FILESERVER<20>"
"27","7.554526000","192.168.10.26","54.200.75.96","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"28","7.788382000","192.168.10.26","54.200.75.96","TCP","66","[TCP Retransmission] 50792 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
